----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Layer (type)                                             Input Shape                                                                                    Output Shape                                               Param #    
   Conv2D-87                                            [[1, 12, 64, 64]]                                                                                [1, 12, 64, 64]                                              1,308     
   Conv2D-88                                            [[1, 14, 64, 64]]                                                                                [1, 14, 64, 64]                                              1,778     
   Conv2D-89                                            [[1, 15, 64, 64]]                                                                                [1, 15, 64, 64]                                              2,040     
   HSBlock-14                                           [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
SyncBatchNorm-47                                        [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                               160      
HSBlockBNReLU-14                                        [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
   Conv2D-90                                            [[1, 40, 64, 64]]                                                                               [1, 128, 64, 64]                                              5,248     
SyncBatchNorm-48                                       [[1, 128, 64, 64]]                                                                               [1, 128, 64, 64]                                               512      
   ConvBN-20                                            [[1, 40, 64, 64]]                                                                               [1, 128, 64, 64]                                                0       
HSBottleNeck-14                                        [[1, 128, 64, 64]]                                                                               [1, 128, 64, 64]                                                0       
  UpSampling-2                                [[1, 256, 32, 32], [1, 256, 64, 64]]                                                                      [1, 128, 64, 64]                                                0       
   Conv2D-91                                          [[1, 256, 128, 128]]                                                                              [1, 40, 128, 128]                                            10,280     
SyncBatchNorm-49                                       [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                              160      
 ConvBNReLU-15                                        [[1, 256, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
   Conv2D-92                                           [[1, 8, 128, 128]]                                                                               [1, 8, 128, 128]                                               584      
   Conv2D-93                                           [[1, 12, 128, 128]]                                                                              [1, 12, 128, 128]                                             1,308     
   Conv2D-94                                           [[1, 14, 128, 128]]                                                                              [1, 14, 128, 128]                                             1,778     
   Conv2D-95                                           [[1, 15, 128, 128]]                                                                              [1, 15, 128, 128]                                             2,040     
